design,n,p,SNR,replicate,Rhat,success,H_minus_T,N_minus_T,mean_acceptance
independent,500,1000,3.0,9,1.0,True,0.0,-399.7664566710773,0.004683333333333334
independent,500,1000,3.0,10,1.0,True,0.0,-400.54368124646317,0.005975
independent,500,1000,3.0,11,1.0,True,0.0,-376.9991426021461,0.006533333333333333
independent,500,1000,3.0,12,1.3282660709046392,True,0.0,-406.1725979115463,0.004775000000000001
independent,500,1000,3.0,13,1.1010972395482763,True,0.0,-364.99271391294496,0.005441666666666667
independent,500,1000,3.0,14,1.0,True,0.0,-359.08449650723287,0.007875
independent,500,1000,3.0,15,1.0,True,0.0,-367.0183863324546,0.004333333333333334
independent,500,1000,3.0,16,1.0,True,0.0,-395.4319342147637,0.004325
independent,500,1000,3.0,17,1.0,True,0.0,-385.3841283504198,0.003783333333333333
independent,500,1000,3.0,18,1.0,True,0.0,-412.8953667060041,0.0037250000000000004
independent,500,1000,3.0,19,1.0,True,0.0,-370.7718166079985,0.00455
independent,500,1000,3.0,20,1.0,True,0.0,-390.35760325980027,0.006933333333333333
independent,500,5000,0.5,1,1.0,True,146.226793781354,146.226793781354,0.3728583333333333
independent,500,5000,0.5,2,1.0,True,148.61807438991127,148.61807438991127,0.4083133333333333
independent,500,5000,0.5,3,1.0984947619062595,True,131.51273402505194,131.51273402505194,0.34412833333333337
independent,500,5000,0.5,4,1.1457377348565512,True,140.30450599031428,140.30450599031428,0.34642166666666663
independent,500,5000,0.5,5,2.000274205623356,False,148.11047725883782,148.11047725883782,0.3466883333333333
independent,500,5000,0.5,6,1.0,True,147.34556675267504,147.34556675267504,0.3832133333333334
independent,500,5000,0.5,7,1.0535542076698607,True,150.6800066974247,150.6800066974247,0.3843916666666667
independent,500,5000,0.5,8,1.0722249297625457,True,143.52255277754648,143.52255277754648,0.21943666666666664
independent,500,5000,0.5,9,1.0,True,159.24969102495015,159.24969102495015,0.40324333333333334
independent,500,5000,0.5,10,1.0,True,159.82099389969426,159.82099389969426,0.41199499999999994
independent,500,5000,0.5,11,1.0,True,150.82813039540906,150.82813039540906,0.4113716666666667
independent,500,5000,0.5,12,1.0,True,133.55522433185615,133.55522433185615,0.41536833333333334
independent,500,5000,0.5,13,1.0,True,153.55794299676836,153.55794299676836,0.40763
independent,500,5000,0.5,14,1.0111125254213487,True,157.50389845971767,157.50389845971767,0.38169000000000003
independent,500,5000,0.5,15,1.0,True,157.56357662268147,157.56357662268147,0.3916899999999999
independent,500,5000,0.5,16,1.0,True,127.1291479339443,127.1291479339443,0.384345
independent,500,5000,0.5,17,1.0,True,152.40178648876736,152.40178648876736,0.40178833333333336
independent,500,5000,0.5,18,1.0,True,146.89338444335408,146.89338444335408,0.3799333333333333
independent,500,5000,0.5,19,1.073507812314889,True,141.59998283612094,141.59998283612094,0.3537216666666667
independent,500,5000,0.5,20,1.0,True,122.57610307569666,122.57610307569666,0.42939166666666667
independent,500,5000,1.0,1,1.303867036867128,True,42.25166775462458,41.13857752467902,0.028829999999999998
independent,500,5000,1.0,2,1.4790667336310048,True,26.792766869213665,0.30230612530704093,0.004668333333333333
independent,500,5000,1.0,3,1.173016049036784,True,49.25591334487126,44.50143661052425,0.0053750000000000004
independent,500,5000,1.0,4,1.4682585650519369,True,58.524965302989585,46.27259329708886,0.006239999999999999
independent,500,5000,1.0,5,3.180258554938339,False,57.156697107966465,46.89408389708478,0.004368333333333333
independent,500,5000,1.0,6,1.99236140492759,False,52.684725246651396,40.17266111311619,0.0034316666666666675
independent,500,5000,1.0,7,1.0026096988505522,True,38.773380760984764,22.85212658581895,0.01016
independent,500,5000,1.0,8,1.4286234938111246,True,48.53978096142055,35.72863407681325,0.004358333333333333
independent,500,5000,1.0,9,1.766169906375475,False,40.43054395962372,22.36425682823574,0.00466
independent,500,5000,1.0,10,1.2283580384555504,True,21.121151629286942,13.926459066889038,0.003626666666666667
independent,500,5000,1.0,11,1.1220089241338909,True,42.529140615965844,23.788651610751913,0.005348333333333333
independent,500,5000,1.0,12,1.0683047387887037,True,41.443180897036655,27.770326058549472,0.0048783333333333335
independent,500,5000,1.0,13,1.0745142259577407,True,26.775112484925558,15.082977995561123,0.004581666666666667
independent,500,5000,1.0,14,1.015334207147589,True,43.069844176035076,24.228743574950386,0.005593333333333335
independent,500,5000,1.0,15,1.5543149103032567,False,22.46515070328951,3.690096480541797,0.004373333333333334
independent,500,5000,1.0,16,1.1286447452349602,True,33.1436703232348,19.207790148914683,0.0038666666666666663
independent,500,5000,1.0,17,1.33170840527876,True,37.76777459396817,-2.145361943414173,0.0030183333333333342
independent,500,5000,1.0,18,1.2094364505129738,True,36.68178741000065,10.36023418941113,0.007370000000000001
independent,500,5000,1.0,19,1.1245022499037878,True,29.46753646756406,20.935766267881263,0.004711666666666667
independent,500,5000,1.0,20,2.100746617817018,False,19.594964708839143,16.59819060772861,0.04787833333333333
independent,500,5000,2.0,1,1.0,True,0.0,-192.22097954247602,0.005231666666666667
independent,500,5000,2.0,2,1.0,True,0.0,-216.103817875176,0.0046816666666666664
independent,500,5000,2.0,3,1.0,True,0.0,-257.94528785444527,0.004038333333333334
independent,500,5000,2.0,4,1.0,True,0.0,-224.07515967238396,0.002673333333333333
independent,500,5000,2.0,5,1.2642430197036836,True,0.0,-211.67112599523443,0.00346
independent,500,5000,2.0,6,1.0,True,0.0,-231.31137683002999,0.0035466666666666667
independent,500,5000,2.0,7,1.0,True,0.0,-207.9194669790977,0.004646666666666667
independent,500,5000,2.0,8,1.0,True,0.0,-236.99206796027192,0.003115
independent,500,5000,2.0,9,1.0,True,0.0,-193.26135534119203,0.004655
independent,500,5000,2.0,10,1.0,True,0.0,-209.52676158908616,0.0037733333333333334
independent,500,5000,2.0,11,1.0,True,0.0,-223.08317536419054,0.0037266666666666663
independent,500,5000,2.0,12,1.0,True,0.0,-218.10025121187664,0.00593
independent,500,5000,2.0,13,1.0,True,0.0,-196.30950442435278,0.003878333333333333
independent,500,5000,2.0,14,1.0,True,0.0,-215.5108001078779,0.003365
